Vteam,Hteam
Memphis Grizzlies,Houston Rockets
Cleveland Cavaliers,Houston Rockets
Brooklyn Nets,San Antonio Spurs
Utah Jazz,New Orleans Pelicans
Charlotte Hornets,Portland Trail Blazers
Indiana Pacers,Philadelphia 76ers
Dallas Mavericks,Orlando Magic
Denver Nuggets,Chicago Bulls
Memphis Grizzlies,Washington Wizards
Los Angeles Clippers,Boston Celtics
Atlanta Hawks,Miami Heat
New York Knicks,San Antonio Spurs
Denver Nuggets,Milwaukee Bucks
Phoenix Suns,Los Angeles Lakers
Los Angeles Lakers,Sacramento Kings
Golden State Warriors,Portland Trail Blazers
Oklahoma City Thunder,Dallas Mavericks
Atlanta Hawks,Orlando Magic
Chicago Bulls,New Orleans Pelicans
Brooklyn Nets,Houston Rockets
Detroit Pistons,Toronto Raptors
Utah Jazz,Philadelphia 76ers
Indiana Pacers,Cleveland Cavaliers
Charlotte Hornets,Minnesota Timberwolves
Sacramento Kings,Portland Trail Blazers
Golden State Warriors,Phoenix Suns
Oklahoma City Thunder,San Antonio Spurs
Milwaukee Bucks,Memphis Grizzlies
Miami Heat,New Orleans Pelicans
Detroit Pistons,New York Knicks
Los Angeles Clippers,Washington Wizards
Toronto Raptors,Boston Celtics
Denver Nuggets,Indiana Pacers
Washington Wizards,Memphis Grizzlies
San Antonio Spurs,Dallas Mavericks
Dallas Mavericks,Oklahoma City Thunder
Phoenix Suns,Portland Trail Blazers
Houston Rockets,Sacramento Kings
Golden State Warriors,Los Angeles Clippers
Minnesota Timberwolves,New Orleans Pelicans
Boston Celtics,Brooklyn Nets
Orlando Magic,Miami Heat
Philadelphia 76ers,Chicago Bulls
Atlanta Hawks,Toronto Raptors
Detroit Pistons,Charlotte Hornets
New York Knicks,Milwaukee Bucks
Houston Rockets,Utah Jazz
Denver Nuggets,Memphis Grizzlies
Cleveland Cavaliers,New Orleans Pelicans
Philadelphia 76ers,Washington Wizards
Miami Heat,Chicago Bulls
Orlando Magic,San Antonio Spurs
Indiana Pacers,Los Angeles Lakers
Dallas Mavericks,Denver Nuggets
Indiana Pacers,Phoenix Suns
Sacramento Kings,Atlanta Hawks
Portland Trail Blazers,Minnesota Timberwolves
Toronto Raptors,Charlotte Hornets
Milwaukee Bucks,Washington Wizards
Detroit Pistons,Brooklyn Nets
New York Knicks,Oklahoma City Thunder
Los Angeles Clippers,New Orleans Pelicans
Toronto Raptors,Chicago Bulls
Portland Trail Blazers,Minnesota Timberwolves
Boston Celtics,Houston Rockets
Cleveland Cavaliers,Atlanta Hawks
Miami Heat,Orlando Magic
San Antonio Spurs,Philadelphia 76ers
Utah Jazz,Golden State Warriors
Memphis Grizzlies,Oklahoma City Thunder
Los Angeles Lakers,Golden State Warriors
Memphis Grizzlies,Phoenix Suns
Indiana Pacers,Denver Nuggets
Los Angeles Clippers,Dallas Mavericks
New York Knicks,Brooklyn Nets
Milwaukee Bucks,Washington Wizards
Sacramento Kings,Charlotte Hornets
San Antonio Spurs,Detroit Pistons
Utah Jazz,Boston Celtics
Oklahoma City Thunder,Chicago Bulls
Atlanta Hawks,Houston Rockets
Cleveland Cavaliers,Miami Heat
New York Knicks,Philadelphia 76ers
New Orleans Pelicans,Portland Trail Blazers
Minnesota Timberwolves,Los Angeles Lakers
Golden State Warriors,Houston Rockets
Los Angeles Clippers,Dallas Mavericks
Charlotte Hornets,Denver Nuggets
Boston Celtics,Cleveland Cavaliers
Miami Heat,Memphis Grizzlies
Sacramento Kings,Washington Wizards
Milwaukee Bucks,Philadelphia 76ers
Brooklyn Nets,Indiana Pacers
Toronto Raptors,Detroit Pistons
San Antonio Spurs,Chicago Bulls
Utah Jazz,Washington Wizards
Oklahoma City Thunder,Atlanta Hawks
Orlando Magic,New York Knicks
Minnesota Timberwolves,Phoenix Suns
New Orleans Pelicans,Portland Trail Blazers
Charlotte Hornets,Los Angeles Lakers
Dallas Mavericks,Portland Trail Blazers
Chicago Bulls,Denver Nuggets
Utah Jazz,Toronto Raptors
Brooklyn Nets,Orlando Magic
Minnesota Timberwolves,Phoenix Suns
Golden State Warriors,Memphis Grizzlies
Detroit Pistons,Houston Rockets
San Antonio Spurs,Cleveland Cavaliers
Sacramento Kings,Boston Celtics
Indiana Pacers,Miami Heat
Atlanta Hawks,Los Angeles Lakers
Golden State Warriors,Memphis Grizzlies
Sacramento Kings,Philadelphia 76ers
San Antonio Spurs,Milwaukee Bucks
Charlotte Hornets,Los Angeles Clippers
Dallas Mavericks,Portland Trail Blazers
Los Angeles Lakers,Phoenix Suns
Philadelphia 76ers,New York Knicks
Chicago Bulls,Detroit Pistons
Toronto Raptors,Cleveland Cavaliers
Oklahoma City Thunder,Houston Rockets
Orlando Magic,Boston Celtics
New Orleans Pelicans,Denver Nuggets
Indiana Pacers,Miami Heat
Washington Wizards,Brooklyn Nets
Boston Celtics,Memphis Grizzlies
Atlanta Hawks,Los Angeles Clippers
Indiana Pacers,Milwaukee Bucks
Toronto Raptors,Houston Rockets
Charlotte Hornets,San Antonio Spurs
Utah Jazz,Chicago Bulls
Oklahoma City Thunder,Minnesota Timberwolves
Sacramento Kings,Cleveland Cavaliers
Denver Nuggets,Orlando Magic
Los Angeles Lakers,New Orleans Pelicans
Washington Wizards,New York Knicks
Phoenix Suns,Miami Heat
Philadelphia 76ers,Golden State Warriors
Brooklyn Nets,Portland Trail Blazers
Brooklyn Nets,Utah Jazz
Atlanta Hawks,Sacramento Kings
Los Angeles Clippers,San Antonio Spurs
Phoenix Suns,Orlando Magic
Memphis Grizzlies,Oklahoma City Thunder
Dallas Mavericks,Minnesota Timberwolves
Charlotte Hornets,Houston Rockets
Denver Nuggets,Toronto Raptors
Boston Celtics,Milwaukee Bucks
Detroit Pistons,Indiana Pacers
Cleveland Cavaliers,Chicago Bulls
Golden State Warriors,Sacramento Kings
Portland Trail Blazers,Miami Heat
Washington Wizards,New York Knicks
Los Angeles Clippers,San Antonio Spurs
Philadelphia 76ers,Los Angeles Lakers
Memphis Grizzlies,Utah Jazz
Atlanta Hawks,Golden State Warriors
Portland Trail Blazers,Orlando Magic
Cleveland Cavaliers,Los Angeles Lakers
Denver Nuggets,New Orleans Pelicans
Indiana Pacers,Dallas Mavericks
Miami Heat,Charlotte Hornets
Phoenix Suns,Toronto Raptors
Boston Celtics,Milwaukee Bucks
Brooklyn Nets,Detroit Pistons
Houston Rockets,Minnesota Timberwolves
New York Knicks,Milwaukee Bucks
Houston Rockets,Minnesota Timberwolves
Detroit Pistons,Washington Wizards
Chicago Bulls,San Antonio Spurs
Dallas Mavericks,New Orleans Pelicans
Boston Celtics,Oklahoma City Thunder
Memphis Grizzlies,Utah Jazz
Philadelphia 76ers,Los Angeles Clippers
Cleveland Cavaliers,Sacramento Kings
Orlando Magic,Los Angeles Lakers
Atlanta Hawks,Denver Nuggets
Phoenix Suns,Charlotte Hornets
Portland Trail Blazers,Toronto Raptors
Milwaukee Bucks,Los Angeles Clippers
Chicago Bulls,Golden State Warriors
Cleveland Cavaliers,Utah Jazz
Sacramento Kings,San Antonio Spurs
Memphis Grizzlies,Houston Rockets
Dallas Mavericks,Oklahoma City Thunder
Miami Heat,New York Knicks
Minnesota Timberwolves,Brooklyn Nets
New Orleans Pelicans,Boston Celtics
Indiana Pacers,Washington Wizards
Toronto Raptors,Detroit Pistons
Atlanta Hawks,Phoenix Suns
Charlotte Hornets,Washington Wizards
Philadelphia 76ers,Denver Nuggets
Orlando Magic,Los Angeles Clippers
Chicago Bulls,Phoenix Suns
Toronto Raptors,Oklahoma City Thunder
Milwaukee Bucks,Los Angeles Lakers
Sacramento Kings,San Antonio Spurs
New York Knicks,Minnesota Timberwolves
Dallas Mavericks,Boston Celtics
Houston Rockets,Brooklyn Nets
Miami Heat,Indiana Pacers
Portland Trail Blazers,Detroit Pistons
Utah Jazz,Memphis Grizzlies
Philadelphia 76ers,Cleveland Cavaliers
Washington Wizards,Detroit Pistons
Charlotte Hornets,Brooklyn Nets
Golden State Warriors,Miami Heat
Orlando Magic,New Orleans Pelicans
Atlanta Hawks,San Antonio Spurs
Denver Nuggets,Los Angeles Clippers
Los Angeles Lakers,Sacramento Kings
Milwaukee Bucks,Portland Trail Blazers
Oklahoma City Thunder,Phoenix Suns
Chicago Bulls,Utah Jazz
Atlanta Hawks,New Orleans Pelicans
Minnesota Timberwolves,Memphis Grizzlies
Charlotte Hornets,Indiana Pacers
Dallas Mavericks,New York Knicks
Houston Rockets,Boston Celtics
Golden State Warriors,Toronto Raptors
Dallas Mavericks,Washington Wizards
New York Knicks,Detroit Pistons
Cleveland Cavaliers,Miami Heat
