WTeam,LTeam,WLoc
Washington Wizards,Phoenix Suns,V
Los Angeles Lakers,New Orleans Pelicans,V
Portland Trail Blazers,Oklahoma City Thunder,H
Golden State Warriors,Chicago Bulls,H
Brooklyn Nets,Boston Celtics,H
Charlotte Hornets,Detroit Pistons,H
Toronto Raptors,Orlando Magic,H
Milwaukee Bucks,Cleveland Cavaliers,V
Philadelphia 76ers,New York Knicks,H
Indiana Pacers,Atlanta Hawks,H
Utah Jazz,Memphis Grizzlies,H
Miami Heat,Golden State Warriors,H
Oklahoma City Thunder,New Orleans Pelicans,V
San Antonio Spurs,Los Angeles Clippers,H
Dallas Mavericks,Phoenix Suns,H
Portland Trail Blazers,Chicago Bulls,H
Los Angeles Lakers,Washington Wizards,V
Sacramento Kings,Denver Nuggets,V
Philadelphia 76ers,Indiana Pacers,H
Houston Rockets,Atlanta Hawks,H
Milwaukee Bucks,Charlotte Hornets,V
Miami Heat,Brooklyn Nets,H
Memphis Grizzlies,Minnesota Timberwolves,V
Boston Celtics,New York Knicks,V
Dallas Mavericks,Los Angeles Lakers,H
Detroit Pistons,San Antonio Spurs,V
Oklahoma City Thunder,New Orleans Pelicans,V
Orlando Magic,Golden State Warriors,H
Toronto Raptors,Utah Jazz,H
Los Angeles Clippers,Washington Wizards,H
Phoenix Suns,Charlotte Hornets,H
Philadelphia 76ers,Utah Jazz,H
Atlanta Hawks,Golden State Warriors,V
Indiana Pacers,Memphis Grizzlies,H
Milwaukee Bucks,New York Knicks,V
Chicago Bulls,Sacramento Kings,V
Detroit Pistons,Cleveland Cavaliers,V
Orlando Magic,Washington Wizards,H
Dallas Mavericks,New Orleans Pelicans,H
Miami Heat,Toronto Raptors,H
San Antonio Spurs,Houston Rockets,H
Los Angeles Lakers,Denver Nuggets,V
Los Angeles Clippers,Portland Trail Blazers,H
Charlotte Hornets,Golden State Warriors,H
Milwaukee Bucks,Detroit Pistons,V
Orlando Magic,Phoenix Suns,H
Brooklyn Nets,Atlanta Hawks,H
Boston Celtics,Miami Heat,V
Chicago Bulls,Memphis Grizzlies,V
Indiana Pacers,Oklahoma City Thunder,H
Dallas Mavericks,Minnesota Timberwolves,H
Los Angeles Lakers,Utah Jazz,V
Portland Trail Blazers,Sacramento Kings,H
Washington Wizards,Philadelphia 76ers,V
Denver Nuggets,New York Knicks,V
Houston Rockets,Toronto Raptors,H
Phoenix Suns,New Orleans Pelicans,H
Brooklyn Nets,Charlotte Hornets,H
Orlando Magic,Cleveland Cavaliers,H
Detroit Pistons,Indiana Pacers,V
Boston Celtics,Denver Nuggets,V
Golden State Warriors,Chicago Bulls,H
Miami Heat,Washington Wizards,H
Oklahoma City Thunder,Minnesota Timberwolves,V
Milwaukee Bucks,Los Angeles Clippers,V
San Antonio Spurs,Sacramento Kings,H
Los Angeles Lakers,Portland Trail Blazers,V
Dallas Mavericks,New Orleans Pelicans,H
Indiana Pacers,New York Knicks,H
Philadelphia 76ers,Cleveland Cavaliers,H
Houston Rockets,Phoenix Suns,H
Utah Jazz,Memphis Grizzlies,H
Brooklyn Nets,Denver Nuggets,H
Atlanta Hawks,Charlotte Hornets,V
Miami Heat,Chicago Bulls,H
Philadelphia 76ers,Toronto Raptors,H
Los Angeles Clippers,Washington Wizards,H
Sacramento Kings,Dallas Mavericks,V
Oklahoma City Thunder,Portland Trail Blazers,V
Los Angeles Lakers,Minnesota Timberwolves,V
Los Angeles Clippers,Indiana Pacers,H
Boston Celtics,Cleveland Cavaliers,V
Toronto Raptors,Chicago Bulls,H
Sacramento Kings,Houston Rockets,V
Milwaukee Bucks,Orlando Magic,V
Detroit Pistons,New Orleans Pelicans,V
Phoenix Suns,Minnesota Timberwolves,H
Oklahoma City Thunder,Utah Jazz,V
Memphis Grizzlies,Golden State Warriors,V
Charlotte Hornets,Washington Wizards,H
Miami Heat,Atlanta Hawks,H
Philadelphia 76ers,Denver Nuggets,H
Portland Trail Blazers,New York Knicks,H
Houston Rockets,Cleveland Cavaliers,H
Indiana Pacers,Boston Celtics,H
Los Angeles Lakers,Orlando Magic,V
Los Angeles Clippers,Toronto Raptors,H
Charlotte Hornets,Brooklyn Nets,H
Chicago Bulls,Atlanta Hawks,V
Utah Jazz,Minnesota Timberwolves,H
Memphis Grizzlies,Phoenix Suns,V
Milwaukee Bucks,New Orleans Pelicans,V
Sacramento Kings,Oklahoma City Thunder,V
New York Knicks,Golden State Warriors,V
Philadelphia 76ers,Boston Celtics,H
Cleveland Cavaliers,San Antonio Spurs,V
Dallas Mavericks,Detroit Pistons,H
Denver Nuggets,Portland Trail Blazers,V
Los Angeles Lakers,Miami Heat,V
Houston Rockets,Orlando Magic,H
Philadelphia 76ers,New Orleans Pelicans,H
Indiana Pacers,Atlanta Hawks,H
Charlotte Hornets,Chicago Bulls,H
Milwaukee Bucks,Memphis Grizzlies,V
Utah Jazz,Golden State Warriors,H
Los Angeles Clippers,Minnesota Timberwolves,H
New York Knicks,Sacramento Kings,V
San Antonio Spurs,Phoenix Suns,H
Toronto Raptors,Brooklyn Nets,H
Chicago Bulls,Los Angeles Clippers,V
Memphis Grizzlies,Washington Wizards,V
Miami Heat,Dallas Mavericks,H
Milwaukee Bucks,Cleveland Cavaliers,V
Denver Nuggets,Oklahoma City Thunder,V
Detroit Pistons,Houston Rockets,V
Orlando Magic,New Orleans Pelicans,H
Indiana Pacers,Charlotte Hornets,H
Los Angeles Lakers,Atlanta Hawks,V
Brooklyn Nets,Philadelphia 76ers,H
Denver Nuggets,New York Knicks,V
Sacramento Kings,Golden State Warriors,V
Washington Wizards,Detroit Pistons,V
Toronto Raptors,Cleveland Cavaliers,H
Houston Rockets,San Antonio Spurs,H
Memphis Grizzlies,Miami Heat,V
Dallas Mavericks,Milwaukee Bucks,H
Oklahoma City Thunder,Chicago Bulls,V
Portland Trail Blazers,Phoenix Suns,H
Charlotte Hornets,Sacramento Kings,H
Indiana Pacers,Los Angeles Lakers,H
New York Knicks,Atlanta Hawks,V
Brooklyn Nets,New Orleans Pelicans,H
Utah Jazz,Orlando Magic,H
Los Angeles Clippers,Phoenix Suns,H
Cleveland Cavaliers,Charlotte Hornets,V
Toronto Raptors,Detroit Pistons,H
Miami Heat,Philadelphia 76ers,H
Chicago Bulls,Washington Wizards,V
New Orleans Pelicans,Minnesota Timberwolves,V
Oklahoma City Thunder,Memphis Grizzlies,V
Denver Nuggets,Orlando Magic,V
Boston Celtics,Dallas Mavericks,V
Portland Trail Blazers,Golden State Warriors,H
Utah Jazz,Atlanta Hawks,H
Milwaukee Bucks,Los Angeles Lakers,V
San Antonio Spurs,Brooklyn Nets,H
Houston Rockets,Los Angeles Clippers,H
Cleveland Cavaliers,Memphis Grizzlies,V
Indiana Pacers,Sacramento Kings,H
Boston Celtics,Detroit Pistons,V
Toronto Raptors,Washington Wizards,H
Miami Heat,New York Knicks,H
Oklahoma City Thunder,Phoenix Suns,V
Dallas Mavericks,Philadelphia 76ers,H
Denver Nuggets,Minnesota Timberwolves,V
Portland Trail Blazers,Orlando Magic,H
Golden State Warriors,New Orleans Pelicans,H
Utah Jazz,Charlotte Hornets,H
Brooklyn Nets,Atlanta Hawks,H
Chicago Bulls,Detroit Pistons,V
Philadelphia 76ers,Washington Wizards,H
Milwaukee Bucks,New York Knicks,V
Memphis Grizzlies,Sacramento Kings,V
Los Angeles Clippers,San Antonio Spurs,H
Houston Rockets,Phoenix Suns,H
Portland Trail Blazers,Minnesota Timberwolves,H
Toronto Raptors,Dallas Mavericks,H
Boston Celtics,Charlotte Hornets,V
Milwaukee Bucks,Indiana Pacers,V
Oklahoma City Thunder,Los Angeles Clippers,V
Denver Nuggets,Los Angeles Lakers,V
Cleveland Cavaliers,Atlanta Hawks,V
Philadelphia 76ers,Detroit Pistons,H
Indiana Pacers,Toronto Raptors,H
Washington Wizards,New York Knicks,V
Orlando Magic,Chicago Bulls,H
Miami Heat,Utah Jazz,H
San Antonio Spurs,Memphis Grizzlies,H
Denver Nuggets,Phoenix Suns,V
New Orleans Pelicans,Portland Trail Blazers,V
Houston Rockets,Sacramento Kings,H
Golden State Warriors,Minnesota Timberwolves,H
