Home,Away,Winner,Loser,WinProb
New Orleans Pelicans,Charlotte Hornets,Charlotte Hornets,New Orleans Pelicans,0.9906875998253025
Boston Celtics,Washington Wizards,Washington Wizards,Boston Celtics,0.7625882760182113
Detroit Pistons,Phoenix Suns,Phoenix Suns,Detroit Pistons,0.8967091165334728
New York Knicks,Oklahoma City Thunder,New York Knicks,Oklahoma City Thunder,0.9914492787021941
Dallas Mavericks,Orlando Magic,Dallas Mavericks,Orlando Magic,0.9975207177236204
Philadelphia 76ers,Denver Nuggets,Denver Nuggets,Philadelphia 76ers,0.9888271753564069
Charlotte Hornets,Atlanta Hawks,Charlotte Hornets,Atlanta Hawks,0.5144333242031336
Indiana Pacers,Phoenix Suns,Phoenix Suns,Indiana Pacers,0.7582899391715184
Washington Wizards,Miami Heat,Miami Heat,Washington Wizards,0.9314499460057519
Milwaukee Bucks,Cleveland Cavaliers,Cleveland Cavaliers,Milwaukee Bucks,0.8799110790419093
Minnesota Timberwolves,San Antonio Spurs,San Antonio Spurs,Minnesota Timberwolves,0.6184972413477063
Sacramento Kings,Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,0.8025944740312689
Minnesota Timberwolves,San Antonio Spurs,San Antonio Spurs,Minnesota Timberwolves,0.5935772326811043
Golden State Warriors,Toronto Raptors,Golden State Warriors,Toronto Raptors,0.9793677145592563
Houston Rockets,Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,0.9766076633565626
Detroit Pistons,Utah Jazz,Detroit Pistons,Utah Jazz,0.5013940421165467
Brooklyn Nets,Oklahoma City Thunder,Brooklyn Nets,Oklahoma City Thunder,0.8478824056811093
New York Knicks,Denver Nuggets,Denver Nuggets,New York Knicks,0.8725246232663791
Los Angeles Clippers,Chicago Bulls,Los Angeles Clippers,Chicago Bulls,0.907625898636783
Charlotte Hornets,New York Knicks,Charlotte Hornets,New York Knicks,0.797749780412862
Cleveland Cavaliers,Memphis Grizzlies,Memphis Grizzlies,Cleveland Cavaliers,0.9956104471684422
Orlando Magic,Milwaukee Bucks,Milwaukee Bucks,Orlando Magic,0.9932238281673166
Washington Wizards,Phoenix Suns,Phoenix Suns,Washington Wizards,0.9467130367785308
Atlanta Hawks,Philadelphia 76ers,Philadelphia 76ers,Atlanta Hawks,0.95535679986119
Portland Trail Blazers,Toronto Raptors,Portland Trail Blazers,Toronto Raptors,0.9900328802155266
Sacramento Kings,Indiana Pacers,Indiana Pacers,Sacramento Kings,0.9966280263191568
Oklahoma City Thunder,San Antonio Spurs,San Antonio Spurs,Oklahoma City Thunder,0.6950524828682383
Golden State Warriors,Indiana Pacers,Indiana Pacers,Golden State Warriors,0.5229070155506716
Houston Rockets,Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,0.9753849917667204
Philadelphia 76ers,Miami Heat,Miami Heat,Philadelphia 76ers,0.6990128906307213
Brooklyn Nets,Denver Nuggets,Denver Nuggets,Brooklyn Nets,0.9880771329165793
Cleveland Cavaliers,Utah Jazz,Utah Jazz,Cleveland Cavaliers,0.9441465658291157
Sacramento Kings,Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,0.7511579114370911
Los Angeles Clippers,New Orleans Pelicans,New Orleans Pelicans,Los Angeles Clippers,0.9173774765278406
Oklahoma City Thunder,Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,0.9914963189827379
Charlotte Hornets,Dallas Mavericks,Charlotte Hornets,Dallas Mavericks,0.5243418463749716
New York Knicks,Brooklyn Nets,Brooklyn Nets,New York Knicks,0.9484591555333199
Detroit Pistons,Milwaukee Bucks,Milwaukee Bucks,Detroit Pistons,0.9921551930110434
Minnesota Timberwolves,Memphis Grizzlies,Memphis Grizzlies,Minnesota Timberwolves,0.9900448079701918
Denver Nuggets,Golden State Warriors,Denver Nuggets,Golden State Warriors,0.6060289605310608
Philadelphia 76ers,Miami Heat,Miami Heat,Philadelphia 76ers,0.663135774155309
San Antonio Spurs,Houston Rockets,San Antonio Spurs,Houston Rockets,0.8924318071606573
Toronto Raptors,Charlotte Hornets,Toronto Raptors,Charlotte Hornets,0.9656050254844714
Portland Trail Blazers,Indiana Pacers,Portland Trail Blazers,Indiana Pacers,0.7964907200191805
